corner,vdd,temp,vcont,s0,s1,freq,current
ss,1.8,27.0,1.7,0,1,145000000,0.0001402262086865578360540986475
ff,1.8,27.0,1.3,0,0,160000000,0.0001968263728641033974150646234
ff,1.8,27.0,1.7,0,0,172500000,0.0002119947420510237244068898278
fs,1.8,27.0,1.3,0,1,185000000,0.0001928851665109622259443513912
fs,1.8,27.0,1.3,0,1,182500000,0.0001981395257713057173570660733
tt,1.8,27.0,1.3,0,1,195000000,0.0001784535142088697782555436114
sf,1.8,27.0,1.7,0,1,185000000,0.0001590762711758706032349191270
sf,1.8,27.0,1.3,0,1,180000000,0.0001514972487859053523661908452
sf,1.8,27.0,1.7,0,1,185000000,0.0001577340461979200519987000325
sf,1.8,27.0,1.2,1,1,240000000,0.0001693043532935176620584485388
fs,1.8,27.0,1.7,0,1,197500000,0.0002146392648941026474338141546
fs,1.8,27.0,1.7,0,1,195000000,0.0002122875836599335016624584385
tt,1.8,27.0,1.3,0,1,192500000,0.0001793906122819679508012299693
tt,1.8,27.0,1.7,0,1,205000000,0.0001988033118194295142621434464
tt,1.8,27.0,1.7,0,1,205000000,0.0001892873542816429589260268493
ss,1.8,27.0,1.3,1,0,100000000,0.0001204711986556311092222694433
ss,1.8,27.0,1.3,1,0,100000000,0.0001267441452998675033124171896
ss,1.8,27.0,1.7,1,0,110000000,0.0001344849627010824729381765456
ss,1.8,27.0,1.7,1,0,107500000,0.0001352419127267318317042073948
ff,1.8,27.0,1.3,0,1,247500000,0.0002301023106628334291642708932
ff,1.8,27.0,1.7,0,1,262500000,0.0002380252412552186195345116372
ff,1.8,27.0,1.3,0,1,245000000,0.0002277638538858778530536736582
ff,1.8,27.0,1.7,0,1,262500000,0.0002341528034438139046523836904
fs,1.8,27.0,1.3,1,0,112500000,0.0001691086718215544611384715382
fs,1.8,27.0,1.3,1,0,120000000,0.0001759689511979950501237469063
tt,1.8,27.0,1.3,1,0,142500000,0.0001655814545850353741156471088
sf,1.8,27.0,1.7,1,0,150000000,0.0001479660698470038249043773906
sf,1.8,27.0,1.7,1,0,147500000,0.0001531927043014924626884327892
sf,1.8,27.0,1.3,1,0,137500000,0.0001440973438310792230194245144
sf,1.8,27.0,1.3,0,0,120000000,0.0001315917596132596685082872928
fs,1.8,27.0,1.7,1,0,140000000,0.0001995514461309217269568260793
fs,1.8,27.0,1.7,1,0,135000000,0.0001967957062927926801829954251
tt,1.8,27.0,1.3,1,0,145000000,0.0001612886008667033324166895828
