corner,vdd,temp,vcont,freq,current
fs,1.8,27.0,1.1,147500000,0.0001425244564125396865078373041
fs,1.8,27.0,1.5,207500000,0.0001900125569714757131071723207
ss,1.8,27.0,1.5,167500000,0.0001315573269401514962125946851
sf,1.8,27.0,1.1,165000000,0.0001261662844876128096797580060
ss,1.8,27.0,1.5,167500000,0.0001297176465346366340841478963
fs,1.8,27.0,1.1,147500000,0.0001416807242904177395565110872
tt,1.8,27.0,1.5,205000000,0.0001614334799460763480912977176
ff,1.8,27.0,1.1,200000000,0.0001793482584037399065023374416
tt,1.8,27.0,1.5,202500000,0.0001676447035508362290942726432
ff,1.8,27.0,1.5,242500000,0.0002010044994676883077923051924
ff,1.8,27.0,1.1,197500000,0.0001769595355863853403664908377
ff,1.8,27.0,1.5,242500000,0.0002103058574139146521336966576
tt,1.8,27.0,1.1,160000000,0.0001433552394114647133821654459
tt,1.8,27.0,1.1,162500000,0.0001387837657430314242143946401
sf,1.8,27.0,1.6,192500000,0.0001385040985953601159971000725
sf,1.8,27.0,1.6,190000000,0.0001367855000926976825579360516
ss,1.8,27.0,1.2,145000000,0.0001183439678804329891752706182
sf,1.8,27.0,1.2,175000000,0.0001294816580026999325016874578
fs,1.8,27.0,1.6,215000000,0.0001871770559752006199845003875
ss,1.8,27.0,1.2,145000000,0.0001176283390957226069348266293
ss,1.8,27.0,1.6,170000000,0.0001346899234645533861653458664
fs,1.8,27.0,1.2,172500000,0.0001653358583541661458463538412
fs,1.8,27.0,1.6,215000000,0.0001900742523048423789405264868
ss,1.8,27.0,1.6,170000000,0.0001314891823594160145996350091
sf,1.8,27.0,1.2,172500000,0.0001318048765896852578685532862
fs,1.8,27.0,1.2,175000000,0.0001595631453963650908727281818
tt,1.8,27.0,1.6,210000000,0.0001687848142034949126271843204
tt,1.8,27.0,1.6,207500000,0.0001704794425474363140921476963
ff,1.8,27.0,1.2,220000000,0.0001818618788203794905127371816
ff,1.8,27.0,1.6,247500000,0.0002047079393521411964700882478
ff,1.8,27.0,1.6,250000000,0.0002063827182661183470413239669
ff,1.8,27.0,1.2,220000000,0.0001842811046011099722506937327
tt,1.8,27.0,1.2,180000000,0.0001527970134989375265618359541
tt,1.8,27.0,1.2,180000000,0.0001529109329078523036924076898
sf,1.8,27.0,1.7,195000000,0.0001395842587169320766980825479
sf,1.8,27.0,1.7,192500000,0.0001367980698830279243018924527
ss,1.8,27.0,1.3,155000000,0.0001259557719393765155871103222
sf,1.8,27.0,1.3,180000000,0.0001344064155262118447038824029
fs,1.8,27.0,1.7,220000000,0.0001950322834814879628009299768
ss,1.8,27.0,1.3,155000000,0.0001250451116856328591785205370
ss,1.8,27.0,1.7,172500000,0.0001353437581771955701107472313
fs,1.8,27.0,1.3,190000000,0.0001666129270171495712607184820
ss,1.8,27.0,1.7,172500000,0.0001330473744036899077523061923
sf,1.8,27.0,1.3,182500000,0.0001345534671636959076023099423
fs,1.8,27.0,1.7,220000000,0.0001912261167631059223519412015
tt,1.8,27.0,1.7,210000000,0.0001706431321875703107422314442
fs,1.8,27.0,1.3,190000000,0.0001684829912257193570160745981
tt,1.8,27.0,1.7,212500000,0.0001727714604046648833779155521
ff,1.8,27.0,1.3,232500000,0.0001906879765097622559436014100
ff,1.8,27.0,1.7,252500000,0.0002023728946837079073023174421
ff,1.8,27.0,1.7,250000000,0.0002119920739745756356091097723
ff,1.8,27.0,1.3,230000000,0.0001974103545243868903277418065
tt,1.8,27.0,1.3,192500000,0.0001544658961237469063273418165
tt,1.8,27.0,1.3,190000000,0.0001554200073140171495712607185
sf,1.8,27.0,1.8,195000000,0.0001412420875674108147296317592
ss,1.8,27.0,1.4,162500000,0.0001263775023579910502237444064
sf,1.8,27.0,1.8,195000000,0.0001406488231119472013199670008
sf,1.8,27.0,1.4,185000000,0.0001375780212843928901777455564
fs,1.8,27.0,1.8,225000000,0.0001937733667272318192045198870
ss,1.8,27.0,1.4,160000000,0.0001287019784183895402614934627
